job_key,job_title,salary_low,salary_high,is_remote,job_type
job-4056f93fad9049d5,Data Scientist,$135K,$170K,Y,Full-time
job-3f48c7f7af2fc151,Product Data Scientist,$74.2K,$94K,Y,Full-time
job-c1b2cd03dc88dc38,Statistical Analyst,"$82,800","$110,200",Y,Full-time (i)
job-b7db8489068acbaf,Data Scientist,"$150,000","$230,000",N,Full-time
job-19a9f2a4deb9847c,Data Scientist,$108K,$136K,Y,Full-time (i)
job-f430a34876014a45,Global Quantitative Research Summer Associate Program - 2023,0,0,N,Internship
job-3ac8374fbb32a5bb,Data Scientist,$122K,$154K,Y,Full-time (i)
job-7adb52e24ce39d4e,"Data Scientist, Data Science and Solution (Retail Analytics)",$107K,$135K,N,Full-time
job-47a1ecd2c7c33537,Data Analyst (Remote),$69.6K,$88.1K,Y,Full-time
job-e66af60e1ee24165,Digital Loss Prevention Data Analyst - North America Nike Direct Digital Commerce (Remote Option*),"$86,000","$128,500",Y,Full-time
job-d751b2f264bf621f,Speech Recognition Data Labeler (Contract),$450,$650,Y,Contract
job-b5a66fd1accd37ad,Data Scientist,$85.2K,$108K,N,Full-time
job-7a490dc273be739c,Junior Data Scientist,$77.5K,$98.1K,N,Full-time
job-cb480d80108fdc6f,Data Analyst,$93.4K,$118K,N,Full-time
